title,description,url,publishedAt
Lundin Mining price target lowered by C$1 at Raymond James,"See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…",https://thefly.com/permalinks/entry.php/id4036187/LUNMF-Lundin-Mining-price-target-lowered-by-C-at-Raymond-James,2024-12-10T15:41:13Z
California could become the first state to require social media warning labels,A new bill introduced in California would require social platforms to display a warning label that discloses the potential impact on the mental health of kids and teens.,https://www.theverge.com/2024/12/10/24317835/california-social-media-warning-labels-bill,2024-12-10T15:40:05Z
"Microsoft shareholders to vote on Bitcoin investment proposal in an hour, what we should expect?","Microsoft's focus on AI over crypto suggests a strategic prioritization of stable, long-term growth over volatile investments like Bitcoin.
The post Microsoft shareholders to vote on Bitcoin investment proposal in an hour, what we should expect? appeared firs…",https://cryptobriefing.com/microsoft-bitcoin-investment-proposal/,2024-12-10T15:39:23Z
Why investors need to watch Japan as a key source of market risk in 2025,"""Today's edifice of US tech stock valuations is founded on Japan's negative real bond yield,"" strategists at BCA Research wrote.",https://markets.businessinsider.com/news/stocks/japan-stock-market-risk-2025-tech-equities-fragility-bond-yields-2024-12,2024-12-10T15:38:12Z
"The 30+ best Apple holiday deals 2024: Save on iPhones, MacBooks, & more","Amazon, Best Buy, and Walmart offer incredible holiday deals on Apple products. These deals are ZDNET's favorites, but stocks might not last long.",https://www.zdnet.com/article/best-holiday-apple-deals-2024/,2024-12-10T15:37:11Z
Illia Polosukhin: A Crypto+AI Pioneer,"There are many in the Web3 space who have only recently jumped into AI. Illia Polosukhin isn’t one of them. Long before he co-founded the decentralized app blockchain protocol NEAR, Polosukhin worked at Google as an AI researcher and co-wrote the seminal 2017…",https://biztoc.com/x/2a755ce4f7f7e005,2024-12-10T15:35:48Z
Hunter Horsley and Matt Hougan: The Spot Crypto ETF Champions,"Hunter Horsley and Matt Hougan: The Spot Crypto ETF Champions
The two Bitwise executives have worked tirelessly to get crypto exchange-traded funds approved by the SEC, and this year they finally succeeded.
The relentless efforts by Bitwise CEO Hunter Horsley…",https://biztoc.com/x/70863b28e63e72e1,2024-12-10T15:35:48Z
Steve Yun: Driving Web3 Adoption Via Telegram,"What do hamsters, crypto and Iran’s military have in common? At one point in the summer of 2024, the Telegram “mini-game” Hamster Kombat was so popular — reportedly attracting 300 million users — that Iran Rear Admiral Habibollah Sayyari accused the West of t…",https://biztoc.com/x/1d18896a824433e5,2024-12-10T15:35:38Z
Donald Trump: The Crypto President,"Donald Trump: The Crypto President
His July speech at the Bitcoin Conference, in Nashville, was a turning point for crypto, promising an easier path for the industry heading into 2025.
The morning after Bitcoin hit $100,000 for the first time, Donald Trump to…",https://biztoc.com/x/5aabec0adbe0a5d2,2024-12-10T15:35:34Z
Mahesh Ramakrishnan: The DePIN Cheerleader,"Mahesh Ramakrishnan: The DePIN Cheerleader
Decentralized physical infrastructure networks (DePIN) took off bigtime this year, and EV3 Ventures’ Ramakrishnan was at the center of it all.
DePIN was one of the biggest stories in crypto in 2024. From telecoms and…",https://biztoc.com/x/08d0b205fe74bbf5,2024-12-10T15:35:33Z
